Código de la Institución,IES PADRE,Institución de Educación Superior (IES),Principal oSeccional,Id_Sector,Id_Caracter,Código del departamento(IES),Departamento de domicilio de la IES,Código del Municipio(IES),Municipio dedomicilio de la IES,Código SNIES delprograma,Programa Académico,Id_Nivel,Id_Nivel_Formacion,Id_Metodologia,Id_Area,Núcleo Básico del Conocimiento (NBC),Código del Departamento(Programa),Departamento de oferta del programa,Código del Municipio(Programa),Municipio de oferta del programa,Id Género,Año,Semestre,Total Matriculados
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,569,FONOAUDIOLOGIA,1,6,1,4,TERAPIAS,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,124
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,569,FONOAUDIOLOGIA,1,6,1,4,TERAPIAS,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,38
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,572,TERAPIA OCUPACIONAL,1,6,1,4,TERAPIAS,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,146
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,572,TERAPIA OCUPACIONAL,1,6,1,4,TERAPIAS,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,38
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,573,PSICOLOGIA,1,6,1,5,PSICOLOGIA,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,165
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,573,PSICOLOGIA,1,6,1,5,PSICOLOGIA,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,87
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,574,TRABAJO SOCIAL,1,6,1,5,SOCIOLOGIA TRABAJO SOCIAL Y AFINES,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,327
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,574,TRABAJO SOCIAL,1,6,1,5,SOCIOLOGIA TRABAJO SOCIAL Y AFINES,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,51
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,575,SOCIOLOGIA,1,6,1,5,SOCIOLOGIA TRABAJO SOCIAL Y AFINES,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,145
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,575,SOCIOLOGIA,1,6,1,5,SOCIOLOGIA TRABAJO SOCIAL Y AFINES,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,107
